CityMPG,HwyMPG,AirBags,EngSize,HPW,RPM,PassCap,Width,Domest
25,31,0,1.8,140,6300,5,68,0
18,25,2,3.2,200,5500,5,71,0
20,26,1,2.8,172,5500,5,67,0
19,26,2,2.8,172,5500,6,70,0
22,30,1,3.5,208,5700,4,69,0
22,31,1,2.2,110,5200,6,69,1
19,28,1,3.8,170,4800,6,74,1
16,25,1,5.7,180,4000,6,78,1
19,27,1,3.8,170,4800,5,73,1
16,25,1,4.9,200,4100,6,73,1
16,25,2,4.6,295,6000,5,74,1
25,36,0,2.2,110,5200,5,66,1
25,34,1,2.2,110,5200,5,68,1
19,28,2,3.4,160,4600,4,74,1
21,29,0,2.2,110,5200,6,71,1
18,23,0,3.8,170,4800,7,74,1
15,20,0,4.3,165,4000,8,78,1
17,26,1,5,170,4200,6,77,1
17,25,1,5.7,300,5000,2,74,1
20,28,2,3.3,153,5300,6,74,1
23,28,2,3,141,5000,6,68,1
20,26,1,3.3,147,4800,6,69,1
29,33,0,1.5,92,6000,5,66,1
23,29,1,2.2,93,4800,5,67,1
22,27,1,2.5,100,4800,6,68,1
17,21,1,3,142,5000,7,72,1
21,27,1,2.5,100,4800,6,69,1
18,24,1,3,300,6000,4,72,1
29,33,0,1.5,92,6000,5,66,1
20,28,2,3.5,214,5800,6,74,1
31,33,0,1.3,63,5000,4,63,1
23,30,0,1.8,127,6500,5,67,1
22,27,0,2.3,96,4200,5,68,1
22,29,1,2.3,105,4600,4,68,1
24,30,1,2,115,5500,4,70,1
15,20,1,3,145,4800,7,72,1
21,30,1,3,140,4800,5,71,1
18,26,1,4.6,190,4200,6,78,1
46,50,0,1,55,5700,4,63,0
30,36,1,1.6,90,5400,4,67,0
24,31,2,2.3,160,5800,4,70,0
42,46,1,1.5,102,5900,4,67,0
24,31,2,2.2,140,5600,4,67,0
29,33,0,1.5,81,5500,5,63,0
22,29,0,1.8,124,6000,5,66,0
26,34,0,1.5,92,5550,4,64,0
20,27,0,2,128,6000,5,69,0
17,22,1,4.5,278,6000,5,72,0
18,24,1,3,185,5200,5,70,0
18,23,2,3,225,6000,4,71,0
17,26,2,3.8,160,4400,6,73,1
18,26,2,4.6,210,4600,6,77,1
29,37,0,1.6,82,5000,4,66,0
28,36,0,1.8,103,5500,5,66,0
26,34,1,2.5,164,5600,5,69,0
18,24,0,3,155,5000,7,72,0
17,25,1,1.3,255,6500,2,69,0
20,29,1,2.3,130,5100,5,67,0
19,25,2,3.2,217,5500,5,69,0
23,26,1,1.6,100,5750,4,65,1
19,26,0,3.8,140,3800,5,73,1
29,33,0,1.5,92,6000,5,67,0
18,24,1,3,202,6000,5,70,0
29,33,1,1.6,110,6000,5,66,0
24,30,1,2.4,150,5600,5,67,0
17,23,0,3,151,4800,7,74,0
21,26,1,3,160,5200,5,69,0
24,31,0,2.3,155,6000,5,67,1
23,31,1,2.2,110,5200,5,70,1
18,23,0,3.8,170,4800,7,74,1
19,28,1,3.8,170,4800,6,74,1
23,30,0,1.8,92,5000,4,67,1
31,41,0,1.6,74,5600,4,66,1
23,31,0,2,110,5200,5,66,1
19,28,2,3.4,160,4600,4,75,1
19,27,0,3.4,200,5000,5,72,1
19,28,2,3.8,170,4800,6,74,1
20,26,1,2.1,140,6000,5,67,0
28,38,1,1.9,85,5000,5,68,1
33,37,0,1.2,73,5600,4,60,0
25,30,0,1.8,90,5200,5,65,0
23,30,1,2.2,130,5600,5,67,0
39,43,0,1.3,70,6000,4,63,0
32,37,1,1.5,82,5200,5,65,0
25,32,1,2.2,135,5400,4,69,0
22,29,1,2.2,130,5400,5,70,0
18,22,1,2.4,138,5000,7,71,0
25,33,0,1.8,81,5500,4,63,0
17,21,0,2.5,109,4500,7,72,0
21,30,0,2,134,5800,5,67,0
18,25,0,2.8,178,5800,4,66,0
21,28,1,2.3,114,5400,5,67,0
20,28,2,2.4,168,6200,5,69,0
